MV_EF_I_EMISSIONS_BY_GHG.FACILITY_ID,MV_EF_I_EMISSIONS_BY_GHG.REPORTING_YEAR,MV_EF_I_EMISSIONS_BY_GHG.FACILITY_NAME,MV_EF_I_EMISSIONS_BY_GHG.CAS_NUMBER,MV_EF_I_EMISSIONS_BY_GHG.GHGASNAME,MV_EF_I_EMISSIONS_BY_GHG.OTHERGHGASNAME,MV_EF_I_EMISSIONS_BY_GHG.GROUP_OF_FLUORINATED_GHG,MV_EF_I_EMISSIONS_BY_GHG.GHGASQUANTITY,Unnamed: 8
1011826,2016,"Diodes Fabtech, Inc",10024-97-2,Nitrous Oxide,,,2.217,
1011826,2016,"Diodes Fabtech, Inc",69991-67-9 (d),Other,HT-110,Fully fluorinated GHGs,0.0,
1011826,2016,"Diodes Fabtech, Inc",75-73-0,PFC-14 (Perfluoromethane),,,0.1871,
1011826,2016,"Diodes Fabtech, Inc",76-16-4,PFC-116 (Perfluoroethane),,,0.2939,
1011826,2016,"Diodes Fabtech, Inc",75-46-7,HFC-23,,,0.0095,
1011826,2016,"Diodes Fabtech, Inc",559-40-0,PFC C-1418,,,0.0001,
1011887,2016,Intersil Corporation,10024-97-2,Nitrous Oxide,,,1.817,
1011887,2016,Intersil Corporation,7783-54-2,Nitrogen trifluoride,,,0.0204,
1011887,2016,Intersil Corporation,2551-62-4,Sulfur hexafluoride,,,0.0521,
1011887,2016,Intersil Corporation,76-19-7,PFC-218 (Perfluoropropane),,,0.4634,
1011887,2016,Intersil Corporation,75-73-0,PFC-14 (Perfluoromethane),,,0.4252,
1011887,2016,Intersil Corporation,115-25-3,Perfluorocyclobutane,,,0.0,
1011887,2016,Intersil Corporation,699991-67-9,Other,Galden DET,Fully fluorinated GHGs,0.525,
1011887,2016,Intersil Corporation,86508-42-1,Other,Perfluoro compounds (primarily compounds with 12 carbons),Fully fluorinated GHGs,0.0898,
1011887,2016,Intersil Corporation,76-16-4,PFC-116 (Perfluoroethane),,,0.0267,
1011887,2016,Intersil Corporation,559-40-0,PFC C-1418,,,0.0004,
1011887,2016,Intersil Corporation,,Other,"HFE-7500 (3-ethoxy-1,1,1,2,3,4,4,5,5,6,6,6-dodecafluoro-2-trifluoromethyl-hexane)",Saturated HFEs and HCFEs with 3 or more carbon-hydrogen bonds,0.0544,
1011887,2016,Intersil Corporation,75-46-7,HFC-23,,,0.0962,
1010067,2016,NXP Semiconductors - OH site,10024-97-2,Nitrous Oxide,,,2.56,
1010067,2016,NXP Semiconductors - OH site,7783-54-2,Nitrogen trifluoride,,,0.2642,
1010067,2016,NXP Semiconductors - OH site,2551-62-4,Sulfur hexafluoride,,,1.128,
1010067,2016,NXP Semiconductors - OH site,76-16-4,PFC-116 (Perfluoroethane),,,3.72,
1010067,2016,NXP Semiconductors - OH site,75-46-7,HFC-23,,,0.6355,
