FACILITY_ID,State,NAICS
1006251,IL,562212
1006255,TX,486210
1006260,TN,562212
1006291,TX,562212
1006342,TX,211111
1006217,SD,221112
1006244,CA,211111
1006344,VA,562212
1006390,NJ,562212
1006557,CA,562212
1006603,WY,221210
1006796,KS,562212
1006656,TX,325199
1001533,IN,221112
1006674,TX,211111
1006826,AL,221210
1001535,IN,221330
1006841,MN,486210
1006760,GA,322130
1001543,IN,221112
1006867,TX,325199
1005667,IN,221112
1001586,KS,221112
1001597,KY,221112
1001603,LA,221112
1007100,GA,221112
1007101,AK,211111
1007154,TX,562212
1001617,MD,221112
1000646,MD,221112
1000649,MD,221112
1007321,LA,211111
1000653,MA,221112
1000656,MA,611310
1000027,PA,622110
1000666,MA,221112
1003600,LA,486210
1007419,IA,221112
1001549,IA,221112
1001550,IA,221112
1000038,WA,311611
1001551,IA,221112
1001612,IA,221112
1001553,IA,221112
1001556,IA,221112
1001573,KS,221112
1000245,ND,486210
1000211,MN,562213
1001412,AL,221112
1000506,CA,221112
1000518,CA,221112
1000364,AL,221112
1001417,KY,221112
1001422,AZ,221112
1001425,AZ,221112
1001426,TX,221112
1000084,FL,221112
1007206,AZ,221112
1000064,CA,211112
1000241,AZ,221112
1005949,AZ,221112
1000134,PA,327420
1000191,NE,562212
1001440,CA,221112
1000196,FL,322121
1005837,CA,221112
1000431,CA,221112
1001447,CA,221112
1001767,TX,211112
1001926,GA,486210
1001972,AL,211111
1002218,ND,221210
1002251,AL,211112
1002657,TX,324110
1002668,TX,211112
1002896,CA,562212
1002934,CA,211111
1002974,CA,211111
1006628,CA,221112
1001454,CA,221112
1003269,TN,562212
1004013,MT,562212
1003579,AL,211111
1003617,CA,221119
1003629,PA,486210
1001462,CO,221112
1004377,TX,562212
1001463,CO,221112
1001464,CO,221330
1001477,DE,221112
1005002,TX,211111
1005008,ID,486210
1005013,OR,486210
1005036,CO,211111
1005054,NJ,562212
1001480,DE,221112
1005071,LA,211112
1005078,TX,486210
1007471,FL,221112
1001485,FL,221112
1001489,FL,221112
1001490,FL,221112
1007432,FL,221112
1001497,FL,221112
1001500,FL,221112
1005715,MA,562212
1001501,FL,221112
1005727,IA,325193
1001510,GA,221112
1001514,IL,221112
1005897,NM,211112
1001521,IL,221112
1005953,IA,486210
1006007,IA,325193
1006010,LA,325211
1001524,IL,221112
1006149,CA,562212
1000865,OK,221112
1006435,LA,325182
1000873,PA,221112
1006465,TX,562212
1000875,PA,221112
1000877,PA,221112
1000879,PA,221112
1000883,PA,221112
1006667,FL,311411
1006668,TX,322121
1000898,PA,221112
1006724,NM,562212
1006735,KS,221112
1000906,SC,221112
1000912,SC,221112
1000914,SC,221112
1000916,TN,221112
1006881,FL,562212
1007790,TN,221112
1000919,TN,221112
1006956,AK,211111
1006725,TX,221112
1007005,AL,486210
1007016,MS,486210
1007039,OR,221210
1007042,VA,486210
1007049,AL,486210
1005671,TX,221112
1007243,TX,221112
1006868,TX,221112
1000934,TX,221112
1007282,UT,562212
1007341,AK,562212
1007355,SC,221330
1007367,ND,211112
1007619,TX,221112
1007424,CA,562212
1007434,TX,221112
1007491,AK,324110
1000395,TX,221112
1001104,TX,221112
1000978,WI,221112
1007832,KS,562212
1000979,WI,221112
1007853,TX,562212
1007895,TX,562212
1000984,WI,221112
1000985,WI,221112
1007939,GA,221210
1000986,WI,221112
1007942,KS,324110
1007959,TX,324110
1007994,MN,322121
1008001,VI,221112
1008019,CO,562212
1000994,TX,221112
1008933,TX,211112
1008992,TX,327390
1008993,OK,211112
1009203,PA,486210
1009236,LA,211111
1001001,WV,221112
1001006,KY,221112
1000459,NC,221119
1007605,KS,562212
1007613,OH,562212
1000963,VA,221112
1007643,LA,324110
1000966,VA,221112
1007691,PA,562212
1007755,MI,562212
1007769,NM,562212
1000975,WV,221112
1007408,PA,212112
1000674,MI,221112
1000677,MI,221112
1000605,TX,325182
1000678,MI,221112
1000682,MI,221112
1000686,MN,221112
1001049,NC,221112
1000688,MN,221330
1000695,MN,221112
1000699,MS,221112
1001856,PA,486210
1006852,MO,221112
1000192,MO,221112
1007453,GA,322121
1001942,AK,211111
1001946,CO,211111
1000713,MO,221112
1000715,MO,221112
1002214,AL,211112
1000716,MO,221112
1000720,MT,221112
1000722,NE,221112
1002265,WY,211111
1007179,NE,221112
1000725,NE,221112
1000726,NV,221112
1006882,NV,221112
1007576,NV,221112
1003046,AZ,562212
1007549,NV,221112
1000732,NJ,221112
1003543,FL,562212
1000741,NJ,221112
1000745,NJ,221112
1004278,FL,562212
1004299,TX,211111
1000747,NJ,221112
1007330,NJ,221112
1004647,MI,221210
1004689,TX,486210
1000753,NM,221112
1000754,NM,221112
1007017,NY,221112
1005085,AL,221210
1000763,NY,221112
1005269,MI,562211
1000764,NY,221112
1000766,NY,221330
1000771,NY,221112
1005784,NY,221112
1005530,PA,562212
1000787,NC,221112
1005731,MA,221112
1005758,MI,311313
1005790,CA,211111
1000831,NC,221112
1005826,AL,325211
1005892,GA,562212
1000840,OH,221112
1005950,KY,562212
1000843,OH,221112
1006002,MO,311119
1006026,AR,562212
1000846,OH,221112
1000849,OH,221112
1006794,OH,221112
1006196,NY,562212
1007887,OH,221112
1000856,OH,221112
1000859,OK,221112
1006280,AZ,562212
1006286,TN,562212
1005691,TX,486210
1005791,IN,325193
1001176,TX,221112
1005807,GA,221112
1005893,TX,562212
1005911,LA,324110
1005925,TX,221210
1001183,NY,221112
1001187,NC,221112
1001188,FL,221112
1007090,WA,562212
1001191,OK,221112
1007132,NC,486210
1007501,TX,221112
1001194,OH,221112
1007354,VA,562212
1001197,NV,221112
1007053,NY,221112
1001199,NY,325992
1001207,MA,221112
1005994,AR,322121
1006409,CT,221112
1006064,LA,562212
1006090,SC,562212
1006130,CT,486210
1001224,CO,221112
1001229,VA,221119
1007111,VA,221119
1001231,MA,221320
1006166,KY,211112
