OriginalFlowID,Amount,State,FacilityID,ReliabilityScore,SUBPART_NAME
Perfluorocarbons (PFCs),786.3,KY,1006666,5.0,F
Perfluorocarbons (PFCs),16381.199999999999,KY,1006666,5.0,F
Perfluorocarbons (PFCs),0.0,MT,1004735,5.0,F
Carbon Dioxide (CO2),474931100.0,IN,1001877,5.0,F
Carbon Dioxide (CO2),225099700.0,WA,1000635,5.0,F
Perfluorocarbons (PFCs),6082.3,KY,1006853,5.0,F
Carbon Dioxide (CO2),321765200.0,KY,1006853,5.0,F
Perfluorocarbons (PFCs),17466.2,IN,1001877,5.0,F
Perfluorocarbons (PFCs),1103.2,WA,1000635,5.0,F
Perfluorocarbons (PFCs),8618.800000000001,WA,1000635,5.0,F
Perfluorocarbons (PFCs),38275.1,KY,1006853,5.0,F
Perfluorocarbons (PFCs),26425.5,WA,1003562,5.0,F
Perfluorocarbons (PFCs),4172.4,MO,1005534,5.0,F
Carbon Dioxide (CO2),337308200.0,SC,1002112,5.0,F
Carbon Dioxide (CO2),223896800.0,NY,1002483,5.0,F
Carbon Dioxide (CO2),363640800.0,KY,1006666,5.0,F
Carbon Dioxide (CO2),0.0,MT,1004735,5.0,F
Carbon Dioxide (CO2),462162200.0,MO,1005534,5.0,F
Carbon Dioxide (CO2),358167500.0,WA,1003562,5.0,F
Perfluorocarbons (PFCs),292.0,NY,1002483,5.0,F
Perfluorocarbons (PFCs),2281.2000000000003,NY,1002483,5.0,F
Perfluorocarbons (PFCs),44301.8,MO,1005534,5.0,F
Perfluorocarbons (PFCs),1287.4,SC,1002112,5.0,F
Perfluorocarbons (PFCs),60194.7,WA,1003562,5.0,F
Perfluorocarbons (PFCs),0.0,MT,1004735,5.0,F
Perfluorocarbons (PFCs),13608.7,SC,1002112,5.0,F
Perfluorocarbons (PFCs),1746.6,IN,1001877,5.0,F
Nitrous Oxide (N2O),0.0,LA,1009795,5.0,G
Biogenic Carbon Dioxide (CO2),0.0,LA,1009795,5.0,G
Carbon Dioxide (CO2),1228727200.0,KS,1002170,5.0,G
Nitrous Oxide (N2O),0.0,OK,1002275,5.0,G
Nitrous Oxide (N2O),0.0,KS,1006037,5.0,G
Biogenic Carbon Dioxide (CO2),0.0,WY,1005924,5.0,G
Nitrous Oxide (N2O),0.0,AL,1007770,5.0,G
Biogenic Carbon Dioxide (CO2),0.0,AL,1007770,5.0,G
Biogenic Carbon Dioxide (CO2),0.0,IL,1005502,5.0,G
Nitrous Oxide (N2O),0.0,IA,1006005,5.0,G
Biogenic Carbon Dioxide (CO2),0.0,IA,1006005,5.0,G
Nitrous Oxide (N2O),0.0,IA,1007046,5.0,G
Methane (CH4),0.0,LA,1009795,5.0,G
Carbon Dioxide (CO2),24568300.0,IA,1002790,5.0,G
Carbon Dioxide (CO2),112219400.0,OR,1005766,5.0,G
Biogenic Carbon Dioxide (CO2),0.0,OR,1005766,5.0,G
Carbon Dioxide (CO2),982233400.0,OK,1002275,5.0,G
Carbon Dioxide (CO2),275683400.0,KS,1006037,5.0,G
Nitrous Oxide (N2O),0.0,WY,1005924,5.0,G
Methane (CH4),0.0,WY,1005924,5.0,G
Methane (CH4),0.0,LA,1003489,5.0,G
Biogenic Carbon Dioxide (CO2),0.0,LA,1003489,5.0,G
Carbon Dioxide (CO2),592328800.0,OH,1002229,5.0,G
Nitrous Oxide (N2O),0.0,OH,1002229,5.0,G
Carbon Dioxide (CO2),394714500.0,IL,1005502,5.0,G
Biogenic Carbon Dioxide (CO2),0.0,VA,1000630,5.0,G
Biogenic Carbon Dioxide (CO2),0.0,OK,1005867,5.0,G
Nitrous Oxide (N2O),0.0,MS,1004183,5.0,G
Biogenic Carbon Dioxide (CO2),0.0,IA,1002790,5.0,G
