FlowID,FlowName,FlowAmount[kg]
140,Coke Oven Emissions,194527.61525443872
171,Glycol Ethers,1723462.5171878382
250,PAH/POM - Unspecified,205233.62854614615
284,Extractable Organic Matter (EOM),46622.417723292005
383,Fine Mineral Fibers,355.766127092
604,Nickel Refinery Dust,124.66519913828002
616,Slagwool (Man-Made Fibers),0.27215543999999997
617,Rockwool (Man-Made Fibers),0.0
50000,Formaldehyde,20954825.21197621
50328,Benzo[a]Pyrene,14297.069087323705
51285,"2,4-Dinitrophenol",6449.42879499401
51796,Ethyl Carbamate,192.91427839578884
53703,"Dibenzo[a,h]Anthracene",65.02822129909345
53963,2-Acetylaminofluorene,71.25936604
56235,Carbon Tetrachloride,84110.06598785531
56382,Parathion,1.3607772
56495,3-Methylcholanthrene,21.622338213506882
56553,Benz[a]Anthracene,4968.642587838715
57125,Cyanide,1933707.537420824
57147,"1,1-Dimethyl Hydrazine",21.10972001139968
57578,Beta-Propiolactone,1.63293264
57749,Chlordane,18.402243668
57976,"7,12-Dimethylbenz[a]Anthracene",37.57228626166828
58899,"1,2,3,4,5,6-Hexachlorocyclohexane",26.952460408
59892,N-Nitrosomorpholine,7.234517792712275
60117,4-Dimethylaminoazobenzene,40.682996283875205
60344,Methylhydrazine,73543.80676993534
60355,Acetamide,237.573555424
62533,Aniline,76441.68539535401
62737,Dichlorvos,732.5925493613593
62759,N-Nitrosodimethylamine,73.89120130615743
63252,Carbaryl,135.3193135072
64675,Diethyl Sulfate,2808.04308551076
67425,(Ethylenebis(Oxyethylenenitrilo)) Tetraacetic Acid,0.0
67561,Methanol,53313505.63866605
67663,Chloroform,477591.3645690966
67721,Hexachloroethane,71195.48566885224
68122,"N,N-Dimethylformamide",111054.22003362745
71432,Benzene,6066556.305814363
71556,Methyl Chloroform,214818.9334670933
72435,Methoxychlor,21.813258516
74839,Methyl Bromide,348738.0263706963
74873,Methyl Chloride,718329.484832241
74884,Methyl Iodide,18159.03070210544
74908,Hydrogen Cyanide,1006149.659032805
75003,Ethyl Chloride,141811.27833101156
75014,Vinyl Chloride,301663.5954659564
75058,Acetonitrile,383444.24746570736
75070,Acetaldehyde,8039031.195733669
75092,Methylene Chloride,2542075.947553284
75150,Carbon Disulfide,4284234.685698081
75218,Ethylene Oxide,187295.12831069695
75252,Bromoform,30688.858243537576
75343,Ethylidene Dichloride,48520.839706952334
75354,Vinylidene Chloride,30850.775336690298
75445,Phosgene,6471.495826188045
75558,"1,2-Propylenimine",128.88955051872
75569,Propylene Oxide,351189.086505181
76448,Heptachlor,5.34250200568
77474,Hexachlorocyclopentadiene,16272.806924287119
77781,Dimethyl Sulfate,24975.98226654062
78591,Isophorone,266933.16767530574
78875,Propylene Dichloride,47690.038901445245
79005,"1,1,2-Trichloroethane",38646.65686682314
79016,Trichloroethylene,1444831.5309845381
79061,Acrylamide,14595.323936017963
79107,Acrylic Acid,126078.63888383684
79118,Chloroacetic Acid,3338.176646654712
79345,"1,1,2,2-Tetrachloroethane",41743.76821385602
79447,Dimethylcarbamoyl Chloride,6.387287008570599
79469,2-Nitropropane,27851.174137906874
80626,Methyl Methacrylate,904748.086204574
82688,Pentachloronitrobenzene,26.2067545024
83329,Acenaphthene,4911.019982176551
84742,Dibutyl Phthalate,36582.39094137671
85018,Phenanthrene,34261.18360619819
85449,Phthalic Anhydride,85981.06557715975
86737,Fluorene,10517.703884277182
86748,Carbazole,23.521363210082402
87683,Hexachlorobutadiene,1061.5623797028481
87865,Pentachlorophenol,2719.758047140891
88062,"2,4,6-Trichlorophenol",120.6097367674763
90040,o-Anisidine,120.92074851704
90120,1-Methylnaphthalene,55028.53735651153
91203,Naphthalene,1474179.4035385328
91225,Quinoline,2173.3481678055355
91576,2-Methylnaphthalene,52377.40801268516
91587,2-Chloronaphthalene,6.607870784270345
91941,"3,3-Dichlorobenzidine",44.79240837754199
92524,Biphenyl,214771.3034313789
92671,4-Aminobiphenyl,143.06347568714958
92875,Benzidine,138.37611175689904
92933,4-Nitrobiphenyl,2.07363562228388
94757,"2,4-Dichlorophenoxy Acetic Acid",1052.6692553596386
95476,o-Xylene,76595.6182658775
100027,4-Nitrophenol,2638.298632017369
100414,Ethyl Benzene,2293760.211304678
100425,Styrene,11275591.082575772
100447,Benzyl Chloride,262637.77073469525
101144,"4,4-Methylenebis(2-Chloraniline)",4313.2763560904
101688,"4,4-Methylenediphenyl Diisocyanate",84265.06946258635
101779,"4,4-Methylenedianiline",3978.545862311612
106423,p-Xylene,242521.24663234566
106445,p-Cresol,4429.1635515612315
106467,"1,4-Dichlorobenzene",45640.97428654119
106503,p-Phenylenediamine,20100.403070660257
106514,Quinone,3522.4704456230415
106887,"1,2-Epoxybutane",6503.735974999254
106898,Epichlorohydrin,35516.093122302074
106934,Ethylene Dibromide,12747.284388228069
106990,"1,3-Butadiene",1180669.990466908
107028,Acrolein,3238938.5526046962
107051,Allyl Chloride,22637.88970159656
107062,Ethylene Dichloride,219727.19338727448
107131,Acrylonitrile,299281.7960102397
107211,Ethylene Glycol,1337134.5973834046
107302,Chloromethyl Methyl Ether,505.64135679292
108054,Vinyl Acetate,763198.7127221142
108101,Methyl Isobutyl Ketone,2279309.7764115045
108316,Maleic Anhydride,132433.53085046433
108383,m-Xylene,211604.50266996454
108394,m-Cresol,6342.284304213933
108883,Toluene,17236532.83963372
108907,Chlorobenzene,163853.719185204
108952,Phenol,3133599.833229565
109864,Ethylene Glycol Methyl Ether,30068.82307312993
110496,Ethylene Glycol Monomethyl Ether Acetate,71.585952568
110543,Hexane,20773219.504238844
110714,"1,2-Dimethoxyethane",3492.01810453984
110805,Cellosolve Solvent,7143.623001772772
111159,Cellosolve Acetate,3355.4916524776604
111422,Diethanolamine,96021.22635120736
111444,Dichloroethyl Ether,1912.247925030868
111773,Diethylene Glycol Monomethyl Ether,3047.6833363211686
111900,Diethylene Glycol Monoethyl Ether,7926.093084020223
111966,Diethylene Glycol Dimethyl Ether,155.49147472
112072,2-Butoxyethyl Acetate,20745.908978663847
112152,Carbitol Acetate,676.927689988
112254,2-(Hexyloxy)Ethanol,24288.462347636
112276,Triethylene glycol,1127.28407108792
112345,Diethylene Glycol Monobutyl Ether,69819.04832614516
112356,Methoxytriglycol,9139.08536227456
112367,Diethylene Glycol Diethyl Ether,1537.2569620585
112492,Triethylene Glycol Dimethyl Ether,0.4535924
112594,N-Hexyl Carbitol,462.5975699172
114261,Propoxur,7.34819688
117817,Bis(2-Ethylhexyl)Phthalate,101710.65416666445
118741,Hexachlorobenzene,1078.2289831293422
119904,"3,3-Dimethoxybenzidine",46.6819154384
119937,"3,3-Dimethylbenzidine",31.9270259489036
120127,Anthracene,5189.779368568583
120809,Catechol,3535.914040942483
120821,"1,2,4-Trichlorobenzene",97744.58507330476
121142,"2,4-Dinitrotoluene",4041.470577181538
121448,Triethylamine,216742.71371137616
121697,"N,N-Dimethylaniline",6200.883228950001
122667,"1,2-Diphenylhydrazine",6.890068556
122996,Phenyl Cellosolve,2392.9720654400003
123319,Hydroquinone,22801.334268779585
