Chemical,CAS Number,Fugitive Air Emissions,Point Source Air Emissions,Surface Water Discharges,On-site Land Treatment,Other On-site Land Disposal,Off-site Land Treatment,Other Off-site Land Disposal
"1,1,1,2-Tetrachloro-2-fluoroethane (HCFC-121a)",354110,5,5,0,0,0,.,.
"1,1,1,2-Tetrachloroethane",630206,"1,249.92","3,213.14",0,0,0,.,.
"1,1,1-Trichloroethane",71556,"40,048.02","25,276.75",613,0,"94,891.71",.,.
"1,1,2,2-Tetrachloro-1-fluoroethane (HCFC-121)",354143,0,0,0,0,0,.,.
"1,1,2,2-Tetrachloroethane",79345,"1,913.93","2,317.19",386,0,0,.,.
"1,1,2-Trichloroethane",79005,"9,897.79","10,059.43",442.24,0,0,.,.
"1,1-Dichloro-1-fluoroethane (HCFC-141b)",1717006,"59,896.00","8,035.00",170,0,0,.,.
"1,1-Dimethylhydrazine",57147,45.06,0.14,0,0,0,.,.
"1,2,3-Trichloropropane",96184,"1,326.00","1,658.01",416,0,0,.,.
"1,2,4-Trichlorobenzene",120821,"6,852.63",363.04,391,0,0,.,.
"1,2,4-Trimethylbenzene",95636,"1,302,327.59","3,598,647.67","2,018.30",230,"2,193.15","1,224.00","1,892.15"
"1,2-Butylene oxide",106887,"4,989.25","1,066.91",0,0,0,.,.
"1,2-Dibromo-3-chloropropane",96128,0.02,0,0,0,0,.,.
"1,2-Dibromoethane",106934,"1,956.87",321.78,1,0,0,.,.
"1,2-Dichloro-1,1,2-trifluoroethane (HCFC-123a)",354234,"15,516.57","95,707.72",0,0,0,.,.
"1,2-Dichloro-1,1-difluoroethane (HCFC-132b)",1649087,570,"30,000.00",15,0,0,.,.
"1,2-Dichlorobenzene",95501,"35,528.32","17,952.55",712.34,0,0,.,.
"1,2-Dichloroethane",107062,"221,856.22","170,752.66","3,283.57",6,24.79,.,.
"1,2-Dichloroethylene",540590,"5,070.29","3,518.25",37.26,0,0,.,.
"1,2-Dichloropropane",78875,"53,905.94","9,863.59",627.58,0,0,.,.
"1,2-Diphenylhydrazine",122667,11.81,0.03,0,0,0,.,.
"1,2-Phenylenediamine",95545,320.92,"2,611.94",0,0,0,.,.
"1,3-Butadiene",106990,"455,127.09","839,273.52","1,344.00",0,0.14,.,3
"1,3-Dichloro-1,1,2,2,3-pentafluoropropane (HCFC-225cb)",507551,33,33,0,0,0,.,.
"1,3-Dichlorobenzene",541731,18.98,0.08,0,0,0,.,.
"1,3-Dichloropropylene",542756,"3,837.64","4,222.03",72,0,0,.,.
"1,3-Phenylenediamine",108452,"1,129.51","42,079.07",0,0,0,.,.
"1,3-Propane sultone",1120714,206,0.63,0,0,0,.,.
"1,4-Dichloro-2-butene",764410,102.68,"1,251.19",24,0,0,.,.
"1,4-Dichlorobenzene",106467,"47,037.73","6,320.68",5,0,0,.,.
"1,4-Dioxane",123911,"19,250.58","79,843.65","43,376.97",2.46,0,.,.
