Compartment,FlowName,Unit,FlowAmount
air,"1,1,1-TRICHLOROETHANE",Pounds,169000397.0
air,"1,1,2,2-TETRACHLOROETHANE",Pounds,44796.0
air,"1,1,2-TRICHLOROETHANE",Pounds,588464.0
air,"1,1-DIMETHYL HYDRAZINE",Pounds,463.0
air,"1,2,4-TRICHLOROBENZENE",Pounds,376866.0
air,"1,2,4-TRIMETHYLBENZENE",Pounds,5772797.0
air,"1,2-BUTYLENE OXIDE",Pounds,79465.0
air,"1,2-DIBROMOETHANE",Pounds,67880.0
air,"1,2-DICHLOROBENZENE",Pounds,416030.0
air,"1,2-DICHLOROETHANE",Pounds,5609152.0
air,"1,2-DICHLOROETHYLENE",Pounds,129179.0
air,"1,2-DICHLOROPROPANE",Pounds,1038614.0
air,"1,3-BUTADIENE",Pounds,5192851.0
air,"1,3-DICHLOROBENZENE",Pounds,8682.0
air,"1,3-DICHLOROPROPYLENE",Pounds,59473.0
air,"1,4-DICHLOROBENZENE",Pounds,818133.0
air,"1,4-DIOXANE",Pounds,663571.0
air,"2,3-DICHLOROPROPENE",Pounds,90610.0
air,"2,4,6-TRICHLOROPHENOL",Pounds,78.0
air,"2,4-D",Pounds,8242.0
air,"2,4-DIAMINOANISOLE",Pounds,26.0
air,"2,4-DIAMINOANISOLE SULFATE",Pounds,0.0
air,"2,4-DIAMINOTOLUENE",Pounds,3928.0
air,"2,4-DICHLOROPHENOL",Pounds,829.0
air,"2,4-DIMETHYLPHENOL",Pounds,7886.0
air,"2,4-DINITROPHENOL",Pounds,24697.0
air,"2,4-DINITROTOLUENE",Pounds,57593.0
air,"2,6-DINITROTOLUENE",Pounds,17737.0
air,"2,6-XYLIDINE",Pounds,17.0
air,2-ETHOXYETHANOL,Pounds,1029962.0
air,2-METHOXYETHANOL,Pounds,2661316.0
air,2-NITROPHENOL,Pounds,4.0
air,2-NITROPROPANE,Pounds,84258.0
air,2-PHENYLPHENOL,Pounds,9910.0
air,"3,3'-DICHLOROBENZIDINE",Pounds,25.0
air,"3,3'-DIMETHOXYBENZIDINE",Pounds,4.0
air,"3,3'-DIMETHYLBENZIDINE",Pounds,0.0
air,"4,4'-DIAMINODIPHENYL ETHER",Pounds,905.0
air,"4,4'-ISOPROPYLIDENEDIPHENOL",Pounds,188247.0
air,"4,4'-METHYLENEBIS(2-CHLOROANILINE)",Pounds,1262.0
air,"4,4'-METHYLENEDIANILINE",Pounds,19523.0
air,"4,6-DINITRO-O-CRESOL",Pounds,47.0
air,4-AMINOAZOBENZENE,Pounds,1.0
air,4-AMINOBIPHENYL,Pounds,0.0
air,4-NITROPHENOL,Pounds,8054.0
air,5-NITRO-O-ANISIDINE,Pounds,10.0
air,ACETALDEHYDE,Pounds,7362542.0
air,ACETAMIDE,Pounds,35.0
air,ACETONE,Pounds,194729874.0
air,ACETONITRILE,Pounds,1879159.0
air,ACROLEIN,Pounds,22029.0
air,ACRYLAMIDE,Pounds,49113.0
air,ACRYLIC ACID,Pounds,431316.0
air,ACRYLONITRILE,Pounds,3451323.0
air,ALLYL ALCOHOL,Pounds,52796.0
air,ALLYL CHLORIDE,Pounds,206024.0
air,ALPHA-NAPHTHYLAMINE,Pounds,500.0
air,ALUMINUM (FUME OR DUST),Pounds,2492846.0
air,ALUMINUM OXIDE (FIBROUS FORMS),Pounds,714210.0
air,AMMONIA,Pounds,212055546.0
air,AMMONIUM NITRATE (SOLUTION),Pounds,2424854.0
air,AMMONIUM SULFATE (SOLUTION),Pounds,408335.0
air,ANILINE,Pounds,480959.0
air,ANTHRACENE,Pounds,62814.0
air,ANTIMONY,Pounds,45548.0
air,ANTIMONY COMPOUNDS,Pounds,148885.0
air,ARSENIC,Pounds,5856.0
air,ARSENIC COMPOUNDS,Pounds,168505.0
air,ASBESTOS (FRIABLE),Pounds,18776.0
air,BARIUM,Pounds,81832.0
air,BARIUM COMPOUNDS,Pounds,1230556.0
air,BENZAL CHLORIDE,Pounds,1755.0
air,BENZENE,Pounds,25846604.0
air,BENZOIC TRICHLORIDE,Pounds,8335.0
air,BENZOYL CHLORIDE,Pounds,23324.0
air,BENZOYL PEROXIDE,Pounds,14630.0
air,BENZYL CHLORIDE,Pounds,33545.0
air,BERYLLIUM,Pounds,1375.0
air,BERYLLIUM COMPOUNDS,Pounds,212.0
air,BIPHENYL,Pounds,1154508.0
air,BIS(2-CHLORO-1-METHYLETHYL) ETHER,Pounds,6230.0
air,BIS(2-CHLOROETHYL) ETHER,Pounds,3779.0
air,BIS(2-ETHYLHEXYL) ADIPATE,Pounds,153664.0
air,BIS(CHLOROMETHYL) ETHER,Pounds,363.0
air,BROMOFORM,Pounds,48205.0
air,BROMOMETHANE,Pounds,3030044.0
air,BUTYL ACRYLATE,Pounds,360890.0
air,BUTYL BENZYL PHTHALATE,Pounds,293749.0
air,BUTYRALDEHYDE,Pounds,577471.0
air,C.I. BASIC GREEN 4,Pounds,16.0
air,C.I. BASIC RED 1,Pounds,0.0
air,C.I. DISPERSE YELLOW 3,Pounds,619.0
air,C.I. FOOD RED 15,Pounds,2.0
air,C.I. SOLVENT YELLOW 14,Pounds,0.0
air,C.I. SOLVENT YELLOW 3,Pounds,0.0
air,CADMIUM,Pounds,13320.0
air,CADMIUM COMPOUNDS,Pounds,107648.0
air,CALCIUM CYANAMIDE,Pounds,12620.0
air,CAPTAN,Pounds,19252.0
air,CARBARYL,Pounds,8458.0
air,CARBON DISULFIDE,Pounds,98532343.0
air,CARBON TETRACHLORIDE,Pounds,1753340.0
air,CARBONYL SULFIDE,Pounds,24585249.0
air,CATECHOL,Pounds,28032.0
air,CERTAIN GLYCOL ETHERS,Pounds,51062083.0
