Compartment,FlowName,CAS,Unit,FlowAmount
air,"1,1,1,2-Tetrachloro-2-fluoroethane (HCFC-121a)",354110,Pounds,10.0
soil,"1,1,1,2-Tetrachloro-2-fluoroethane (HCFC-121a)",354110,Pounds,0.0
water,"1,1,1,2-Tetrachloro-2-fluoroethane (HCFC-121a)",354110,Pounds,0.0
air,"1,1,1,2-Tetrachloroethane",630206,Pounds,1784.54
soil,"1,1,1,2-Tetrachloroethane",630206,Pounds,0.0
water,"1,1,1,2-Tetrachloroethane",630206,Pounds,0.0
air,"1,1,1-Trichloroethane",71556,Pounds,56978.43
soil,"1,1,1-Trichloroethane",71556,Pounds,21948.0
water,"1,1,1-Trichloroethane",71556,Pounds,1371.0
air,"1,1,2,2-Tetrachloro-1-fluoroethane (HCFC-121)",354143,Pounds,0.0
soil,"1,1,2,2-Tetrachloro-1-fluoroethane (HCFC-121)",354143,Pounds,0.0
water,"1,1,2,2-Tetrachloro-1-fluoroethane (HCFC-121)",354143,Pounds,0.0
air,"1,1,2,2-Tetrachloroethane",79345,Pounds,3507.71
soil,"1,1,2,2-Tetrachloroethane",79345,Pounds,0.0
water,"1,1,2,2-Tetrachloroethane",79345,Pounds,0.0
air,"1,1,2-Trichloroethane",79005,Pounds,16536.99
soil,"1,1,2-Trichloroethane",79005,Pounds,0.0
water,"1,1,2-Trichloroethane",79005,Pounds,56.11
air,"1,1-Dichloro-1-fluoroethane (HCFC-141b)",1717006,Pounds,10868.0
soil,"1,1-Dichloro-1-fluoroethane (HCFC-141b)",1717006,Pounds,0.0
water,"1,1-Dichloro-1-fluoroethane (HCFC-141b)",1717006,Pounds,180.0
air,"1,1-Dimethylhydrazine",57147,Pounds,21.4
soil,"1,1-Dimethylhydrazine",57147,Pounds,0.0
water,"1,1-Dimethylhydrazine",57147,Pounds,0.0
air,"1,2,3-Trichloropropane",96184,Pounds,2724.02
soil,"1,2,3-Trichloropropane",96184,Pounds,0.0
water,"1,2,3-Trichloropropane",96184,Pounds,303.0
air,"1,2,4-Trichlorobenzene",120821,Pounds,2062.488
soil,"1,2,4-Trichlorobenzene",120821,Pounds,0.0
water,"1,2,4-Trichlorobenzene",120821,Pounds,0.0
air,"1,2,4-Trimethylbenzene",95636,Pounds,4981189.57
soil,"1,2,4-Trimethylbenzene",95636,Pounds,31892.35
water,"1,2,4-Trimethylbenzene",95636,Pounds,2175.08
air,"1,2-Butylene oxide",106887,Pounds,2688.313
soil,"1,2-Butylene oxide",106887,Pounds,0.0
water,"1,2-Butylene oxide",106887,Pounds,0.0
air,"1,2-Dibromo-3-chloropropane",96128,Pounds,1.22
soil,"1,2-Dibromo-3-chloropropane",96128,Pounds,0.0
