P_SUBPART_LEVEL_INFO.FACILITY_ID,P_SUBPART_LEVEL_INFO.REPORTING_YEAR,P_SUBPART_LEVEL_INFO.GHG_NAME,P_SUBPART_LEVEL_INFO.GHG_QUANTITY,Unnamed: 4
1007253,2013,Biogenic Carbon dioxide,0.0,
1007253,2013,Methane,0.0,
1007253,2013,Nitrous Oxide,0.0,
1007253,2013,Carbon Dioxide,58995.0,
1007230,2013,Biogenic Carbon dioxide,0.0,
1007230,2013,Methane,0.0,
1007230,2013,Nitrous Oxide,0.0,
1007230,2013,Carbon Dioxide,53761.0,
1006943,2013,Biogenic Carbon dioxide,0.0,
1006943,2013,Methane,0.0,
1006943,2013,Nitrous Oxide,0.0,
1006943,2013,Carbon Dioxide,560049.0,
1006562,2013,Biogenic Carbon dioxide,0.0,
1006562,2013,Methane,0.0,
1006562,2013,Nitrous Oxide,0.0,
1006562,2013,Carbon Dioxide,356407.9,
1007922,2013,Biogenic Carbon dioxide,0.0,
1007922,2013,Methane,0.0,
1007922,2013,Nitrous Oxide,0.0,
1007922,2013,Carbon Dioxide,61699.4,
1008991,2013,Biogenic Carbon dioxide,0.0,
1008991,2013,Methane,0.0,
1008991,2013,Nitrous Oxide,0.0,
1008991,2013,Carbon Dioxide,22811.4,
1010506,2013,Biogenic Carbon dioxide,0.0,
1010506,2013,Methane,0.0,
1010506,2013,Nitrous Oxide,0.0,
1010506,2013,Carbon Dioxide,861875.0,
1010625,2013,Biogenic Carbon dioxide,0.0,
1010625,2013,Methane,0.0,
1010625,2013,Nitrous Oxide,0.0,
1010625,2013,Carbon Dioxide,420347.0,
1010969,2013,Biogenic Carbon dioxide,0.0,
1010969,2013,Methane,0.0,
1010969,2013,Nitrous Oxide,0.0,
1010969,2013,Carbon Dioxide,41885.0,
1011080,2013,Biogenic Carbon dioxide,0.0,
1011080,2013,Methane,0.0,
1011080,2013,Nitrous Oxide,0.0,
1011080,2013,Carbon Dioxide,497681.0,
1010702,2013,Biogenic Carbon dioxide,0.0,
1010702,2013,Methane,0.0,
1010702,2013,Nitrous Oxide,0.0,
1010702,2013,Carbon Dioxide,680932.1,
1010879,2013,Biogenic Carbon dioxide,0.0,
1010879,2013,Methane,0.0,
1010879,2013,Nitrous Oxide,0.0,
1010879,2013,Carbon Dioxide,360698.9,
1002121,2013,Biogenic Carbon dioxide,0.0,
1002121,2013,Methane,0.0,
1002121,2013,Nitrous Oxide,0.0,
1002121,2013,Carbon Dioxide,719190.4,
1002122,2013,Biogenic Carbon dioxide,0.0,
1002122,2013,Methane,0.37,
1002122,2013,Nitrous Oxide,0.04,
1002122,2013,Carbon Dioxide,270189.4,
1002072,2013,Biogenic Carbon dioxide,0.0,
1002072,2013,Methane,0.0,
1002072,2013,Nitrous Oxide,0.0,
1002072,2013,Carbon Dioxide,1196236.0,
1002043,2013,Biogenic Carbon dioxide,0.0,
1002043,2013,Methane,0.0,
1002043,2013,Nitrous Oxide,0.0,
1002043,2013,Carbon Dioxide,152238.0,
1002044,2013,Biogenic Carbon dioxide,0.0,
1002044,2013,Methane,0.0,
1002044,2013,Nitrous Oxide,0.0,
1002044,2013,Carbon Dioxide,327563.0,
1002435,2013,Biogenic Carbon dioxide,0.0,
1002435,2013,Methane,8.93,
1002435,2013,Nitrous Oxide,1.79,
1002435,2013,Carbon Dioxide,606779.2,
1002430,2013,Biogenic Carbon dioxide,0.0,
1002430,2013,Methane,0.0,
1002430,2013,Nitrous Oxide,0.0,
1002430,2013,Carbon Dioxide,414872.0,
1002698,2013,Biogenic Carbon dioxide,0.0,
1002698,2013,Methane,0.0,
1002698,2013,Nitrous Oxide,0.0,
1002698,2013,Carbon Dioxide,52191.0,
1002727,2013,Biogenic Carbon dioxide,0.0,
1002727,2013,Methane,0.0,
1002727,2013,Nitrous Oxide,0.0,
1002727,2013,Carbon Dioxide,878248.0,
1002754,2013,Biogenic Carbon dioxide,0.0,
1002754,2013,Methane,0.0,
1002754,2013,Nitrous Oxide,0.0,
1002754,2013,Carbon Dioxide,677191.0,
1003009,2013,Biogenic Carbon dioxide,0.0,
1003009,2013,Methane,0.0,
1003009,2013,Nitrous Oxide,0.0,
1003009,2013,Carbon Dioxide,217165.0,
1003049,2013,Biogenic Carbon dioxide,0.0,
1003049,2013,Methane,0.0,
