Q_SUBPART_LEVEL_INFORMATION.FACILITY_ID,Q_SUBPART_LEVEL_INFORMATION.REPORTING_YEAR,Q_SUBPART_LEVEL_INFORMATION.GHG_NAME,Q_SUBPART_LEVEL_INFORMATION.GHG_QUANTITY,Unnamed: 4
1007946,2013,Biogenic Carbon dioxide,0.0,
1007946,2013,Methane,0.12,
1007946,2013,Nitrous Oxide,0.012,
1007946,2013,Carbon Dioxide,107359.4,
1007695,2013,Biogenic Carbon dioxide,0.0,
1007695,2013,Methane,0.33,
1007695,2013,Nitrous Oxide,0.033,
1007695,2013,Carbon Dioxide,110337.0,
1007577,2013,Biogenic Carbon dioxide,0.0,
1007577,2013,Methane,0.0,
1007577,2013,Nitrous Oxide,0.0,
1007577,2013,Carbon Dioxide,35158.1,
1011242,2013,Biogenic Carbon dioxide,0.0,
1011242,2013,Methane,0.0,
1011242,2013,Nitrous Oxide,0.0,
1011242,2013,Carbon Dioxide,8679.1,
1011726,2013,Biogenic Carbon dioxide,0.0,
1011726,2013,Methane,0.0,
1011726,2013,Nitrous Oxide,0.0,
1011726,2013,Carbon Dioxide,910.5,
1010925,2013,Biogenic Carbon dioxide,0.0,
1010925,2013,Methane,0.0,
1010925,2013,Nitrous Oxide,0.0,
1010925,2013,Carbon Dioxide,4380.6,
1010763,2013,Biogenic Carbon dioxide,0.0,
1010763,2013,Methane,0.0,
1010763,2013,Nitrous Oxide,0.0,
1010763,2013,Carbon Dioxide,85395.2,
1002769,2013,Biogenic Carbon dioxide,0.0,
1002769,2013,Methane,0.0,
1002769,2013,Nitrous Oxide,0.0,
1002769,2013,Carbon Dioxide,1432.9,
1003902,2013,Biogenic Carbon dioxide,0.0,
1003902,2013,Methane,0.0,
1003902,2013,Nitrous Oxide,0.0,
1003902,2013,Carbon Dioxide,71638.0,
1005777,2013,Biogenic Carbon dioxide,0.0,
1005777,2013,Methane,0.17,
1005777,2013,Nitrous Oxide,0.017,
1005777,2013,Carbon Dioxide,86871.8,
1004811,2013,Biogenic Carbon dioxide,0.0,
1004811,2013,Methane,0.0,
1004811,2013,Nitrous Oxide,0.0,
1004811,2013,Carbon Dioxide,59481.5,
1005536,2013,Biogenic Carbon dioxide,0.0,
1005536,2013,Methane,0.0,
1005536,2013,Nitrous Oxide,0.0,
1005536,2013,Carbon Dioxide,8438.5,
1003962,2013,Biogenic Carbon dioxide,0.0,
1003962,2013,Methane,0.23,
1003962,2013,Nitrous Oxide,0.67,
1003962,2013,Carbon Dioxide,2787969.9,
1005615,2013,Biogenic Carbon dioxide,0.0,
1005615,2013,Methane,0.02,
1005615,2013,Nitrous Oxide,0.087,
1005615,2013,Carbon Dioxide,570139.4,
1001563,2013,Biogenic Carbon dioxide,0.0,
1001563,2013,Methane,0.06,
1001563,2013,Nitrous Oxide,0.013000000000000001,
1001563,2013,Carbon Dioxide,9664.1,
1007620,2013,Biogenic Carbon dioxide,0.0,
1007620,2013,Methane,0.0,
1007620,2013,Nitrous Oxide,0.0,
1007620,2013,Carbon Dioxide,891.0,
1000274,2013,Biogenic Carbon dioxide,0.0,
1000274,2013,Methane,0.18,
1000274,2013,Nitrous Oxide,0.565,
1000274,2013,Carbon Dioxide,1332519.9,
1005276,2013,Biogenic Carbon dioxide,0.0,
1005276,2013,Methane,0.0,
1005276,2013,Nitrous Oxide,0.0,
1005276,2013,Carbon Dioxide,118384.7,
1004259,2013,Biogenic Carbon dioxide,0.0,
1004259,2013,Methane,0.0,
1004259,2013,Nitrous Oxide,0.0,
1004259,2013,Carbon Dioxide,116881.5,
1004036,2013,Biogenic Carbon dioxide,0.0,
1004036,2013,Methane,0.0,
1004036,2013,Nitrous Oxide,0.0,
1004036,2013,Carbon Dioxide,12719.8,
1004411,2013,Biogenic Carbon dioxide,0.0,
1004411,2013,Methane,0.0,
1004411,2013,Nitrous Oxide,0.0,
1004411,2013,Carbon Dioxide,73239.0,
1006041,2013,Biogenic Carbon dioxide,0.0,
1006041,2013,Methane,0.34,
1006041,2013,Nitrous Oxide,0.40299999999999997,
1006041,2013,Carbon Dioxide,1299929.8,
1007348,2013,Biogenic Carbon dioxide,0.0,
1007348,2013,Methane,0.0,
1007348,2013,Nitrous Oxide,0.0,
1007348,2013,Carbon Dioxide,21655.0,
1000588,2013,Biogenic Carbon dioxide,0.0,
1000588,2013,Methane,0.07,
1000588,2013,Nitrous Oxide,0.324,
1000588,2013,Carbon Dioxide,1206446.0,
1000029,2013,Biogenic Carbon dioxide,0.0,
1000029,2013,Methane,0.0,
1000029,2013,Nitrous Oxide,0.0,
1000029,2013,Carbon Dioxide,94029.0,
1000235,2013,Biogenic Carbon dioxide,0.0,
1000235,2013,Methane,0.1,
1000235,2013,Nitrous Oxide,0.03,
1000235,2013,Carbon Dioxide,14173.0,
1000330,2013,Biogenic Carbon dioxide,0.0,
1000330,2013,Methane,0.0,
1000330,2013,Nitrous Oxide,0.0,
1000330,2013,Carbon Dioxide,38116.9,
1000394,2013,Biogenic Carbon dioxide,0.0,
1000394,2013,Methane,0.0,
1000394,2013,Nitrous Oxide,0.0,
1000394,2013,Carbon Dioxide,9886.0,
1000399,2013,Biogenic Carbon dioxide,0.0,
1000399,2013,Methane,0.0,
1000399,2013,Nitrous Oxide,0.0,
1000399,2013,Carbon Dioxide,582.0,
1000714,2013,Biogenic Carbon dioxide,0.0,
1000714,2013,Methane,0.0,
1000714,2013,Nitrous Oxide,0.0,
1000714,2013,Carbon Dioxide,13678.0,
1000802,2013,Biogenic Carbon dioxide,0.0,
1000802,2013,Methane,0.39,
1000802,2013,Nitrous Oxide,0.08,
1000802,2013,Carbon Dioxide,36884.3,
1001103,2013,Biogenic Carbon dioxide,0.0,
