D_SUBPART_LEVEL_INFORMATION.FACILITY_ID,D_SUBPART_LEVEL_INFORMATION.REPORTING_YEAR,D_SUBPART_LEVEL_INFORMATION.GHG_NAME,D_SUBPART_LEVEL_INFORMATION.GHG_QUANTITY,D_SUBPART_LEVEL_INFORMATION.FACILITY_NAME,Unnamed: 5
1006549,2016,Biogenic Carbon dioxide,0.0,Merom,
1006549,2016,Methane,64.68,Merom,
1006549,2016,Nitrous Oxide,103.486,Merom,
1006549,2016,Carbon Dioxide,6020158.5,Merom,
1001413,2016,Biogenic Carbon dioxide,0.0,Gorgas,
1001413,2016,Methane,658.39,Gorgas,
1001413,2016,Nitrous Oxide,95.765,Gorgas,
1001413,2016,Carbon Dioxide,5571036.9,Gorgas,
1000898,2016,Biogenic Carbon dioxide,0.0,Eddystone Generating Station,
1000898,2016,Methane,2.82,Eddystone Generating Station,
1000898,2016,Nitrous Oxide,0.34700000000000003,Eddystone Generating Station,
1000898,2016,Carbon Dioxide,132526.5,Eddystone Generating Station,
1005164,2016,Biogenic Carbon dioxide,0.0,"California Resources Elk Hills, LLC - Gas Processing and Power Generation",
1005164,2016,Methane,23.73,"California Resources Elk Hills, LLC - Gas Processing and Power Generation",
1005164,2016,Nitrous Oxide,2.373,"California Resources Elk Hills, LLC - Gas Processing and Power Generation",
1005667,2016,Biogenic Carbon dioxide,0.0,Whitewater Valley,
1001059,2016,Biogenic Carbon dioxide,0.0,Independence,
1001059,2016,Methane,863.52,Independence,
1001059,2016,Nitrous Oxide,125.60700000000001,Independence,
1001059,2016,Carbon Dioxide,7470781.8,Independence,
1001066,2016,Biogenic Carbon dioxide,0.0,D B Wilson,
1001066,2016,Methane,397.97,D B Wilson,
1001066,2016,Nitrous Oxide,57.901,D B Wilson,
1001066,2016,Carbon Dioxide,3373213.2,D B Wilson,
1001046,2016,Biogenic Carbon dioxide,0.0,Empire District Elec Co Energy Ctr,
1001046,2016,Methane,0.89,Empire District Elec Co Energy Ctr,
1001046,2016,Nitrous Oxide,0.08900000000000001,Empire District Elec Co Energy Ctr,
1001046,2016,Carbon Dioxide,47818.8,Empire District Elec Co Energy Ctr,
1001047,2016,Biogenic Carbon dioxide,0.0,Roland C. Dansby Power Plant,
1001047,2016,Methane,1.88,Roland C. Dansby Power Plant,
1001047,2016,Nitrous Oxide,0.188,Roland C. Dansby Power Plant,
1001047,2016,Carbon Dioxide,101149.5,Roland C. Dansby Power Plant,
1001054,2016,Biogenic Carbon dioxide,0.0,Rokeby,
