Y_SUBPART_LEVEL_INFORMATION.FACILITY_ID,Y_SUBPART_LEVEL_INFORMATION.REPORTING_YEAR,Y_SUBPART_LEVEL_INFORMATION.GHG_QUANTITY,Y_SUBPART_LEVEL_INFORMATION.FACILITY_NAME,Y_SUBPART_LEVEL_INFORMATION.GHG_NAME,Unnamed: 5
1007542,2016,0.0,EXXONMOBIL Bt Site,Biogenic Carbon dioxide,
1007542,2016,10210.7,EXXONMOBIL Bt Site,Methane,
1007542,2016,10.694,EXXONMOBIL Bt Site,Nitrous Oxide,
1007542,2016,1904206.8,EXXONMOBIL Bt Site,Carbon Dioxide,
1007661,2016,0.0,MARTIN OPERATING PTNR LP,Biogenic Carbon dioxide,
1007661,2016,11.79,MARTIN OPERATING PTNR LP,Methane,
1007661,2016,0.002,MARTIN OPERATING PTNR LP,Nitrous Oxide,
1007661,2016,225.5,MARTIN OPERATING PTNR LP,Carbon Dioxide,
1007978,2016,0.0,"CHEVRON PRODUCTS, EL SEGUNDO REFINERY",Biogenic Carbon dioxide,
1007978,2016,117.7,"CHEVRON PRODUCTS, EL SEGUNDO REFINERY",Methane,
1007978,2016,3.66,"CHEVRON PRODUCTS, EL SEGUNDO REFINERY",Nitrous Oxide,
1007978,2016,625695.1,"CHEVRON PRODUCTS, EL SEGUNDO REFINERY",Carbon Dioxide,
1004891,2016,0.0,"IES DOWNSTREAM, LLC - KAPOLEI REFINERY",Biogenic Carbon dioxide,
1004891,2016,22.95,"IES DOWNSTREAM, LLC - KAPOLEI REFINERY",Methane,
1004891,2016,1.0859999999999999,"IES DOWNSTREAM, LLC - KAPOLEI REFINERY",Nitrous Oxide,
1004891,2016,185736.3,"IES DOWNSTREAM, LLC - KAPOLEI REFINERY",Carbon Dioxide,
1001920,2016,0.0,Phillips 66 Ponca City Refinery,Biogenic Carbon dioxide,
1001920,2016,171.46,Phillips 66 Ponca City Refinery,Methane,
1001920,2016,5.047,Phillips 66 Ponca City Refinery,Nitrous Oxide,
1001920,2016,565709.6,Phillips 66 Ponca City Refinery,Carbon Dioxide,
1003564,2016,0.0,WESTERN REFINING EL PASO ALL SITES,Biogenic Carbon dioxide,
1003564,2016,85.1,WESTERN REFINING EL PASO ALL SITES,Methane,
1003564,2016,1.459,WESTERN REFINING EL PASO ALL SITES,Nitrous Oxide,
1003564,2016,265049.7,WESTERN REFINING EL PASO ALL SITES,Carbon Dioxide,
1004267,2016,0.0,KERN OIL & REFINING CO.,Biogenic Carbon dioxide,
1004267,2016,8.96,KERN OIL & REFINING CO.,Methane,
1004267,2016,0.003,KERN OIL & REFINING CO.,Nitrous Oxide,
1004267,2016,1067.1,KERN OIL & REFINING CO.,Carbon Dioxide,
1000025,2016,0.0,PLACID REFINING CO LLC - PORT ALLEN REFINERY,Biogenic Carbon dioxide,
1000025,2016,34.61,PLACID REFINING CO LLC - PORT ALLEN REFINERY,Methane,
1000025,2016,3.372,PLACID REFINING CO LLC - PORT ALLEN REFINERY,Nitrous Oxide,
1000025,2016,222474.4,PLACID REFINING CO LLC - PORT ALLEN REFINERY,Carbon Dioxide,
1006062,2016,0.0,VALERO REFINING HOUSTON REFINERY,Biogenic Carbon dioxide,
1006062,2016,196.68,VALERO REFINING HOUSTON REFINERY,Methane,
1006062,2016,4.378,VALERO REFINING HOUSTON REFINERY,Nitrous Oxide,
1006062,2016,762547.1,VALERO REFINING HOUSTON REFINERY,Carbon Dioxide,
1007741,2016,0.0,TESORO ALASKA PETROLEUM CO,Biogenic Carbon dioxide,
1007741,2016,239.32,TESORO ALASKA PETROLEUM CO,Methane,
1007741,2016,0.083,TESORO ALASKA PETROLEUM CO,Nitrous Oxide,
