FacilityID,FacilityName,City,State,Zip,Latitude,Longitude,County,NAICS,SIC
CO0048862,BRUSHCO FARMS,MORGAN COUNTY,CO,80723-2700,40.246968,-103.623202,MORGAN,,0182
FL0000043,TROPICANA MANUFACTURING CO INC,BRADENTON,FL,34208-2699,27.487024,-82.551166,MANATEE,111310,0174
FL0000477,COCA-COLA REFRESHMENTS USA INC - COCA-COLA NORTH AMERICA,DUNEDIN,FL,34698,28.02212,-82.78657,PINELLAS,111310,0174
FL0037389,KERRY I & F CONTRACTING COMPANY,PLANT CITY,FL,33563-5106,28.01254,-82.1336,HILLSBOROUGH,111310,0174
IN0056855,SUNRISE ORCHARDS INC,GOSHEN,IN,46526,41.55154,-85.84262,ELKHART,,0175
IN0063819,HAJEK FARMS,KNOX,IN,46534,41.33925,-86.617111,STARKE,,0191
MA0040207,CHANG FARMS INC,DEERFIELD,MA,01342,42.522248,-72.571247,FRANKLIN,,0182
MT0028843,ENNIS HOT SPRINGS,ENNIS,MT,59729,45.37081,-111.73072,MADISON,,0181
SC0039021,SOLAR FARMS INCORPORATED,WEST COLUMBIA,SC,29170,33.97824,-81.10944,LEXINGTON,,0182
TX0030953,TEXAS A & M  AND EXTENSION CENTAR AT BEAUMONT,BEAUMONT,TX,77713,30.0643,-94.294521,JEFFERSON,,0112
TX0063401,MONTEREY MUSHROOMS WWTP,MADISONVILLE,TX,77864,31.032739,-95.924627,MADISON,,0182
TX0104540,WEATHERFORD FARMS WWTP,STAFFORD,TX,77477,29.630565,-95.564962,FORT BEND,,0181
VA0090654,GREENHOST INCORPORATED,KING GEORGE,VA,22485-6638,38.249837,-77.306016,KING GEORGE,,0182
AL0032271,AVIAGEN NORTH AMERICA,ELKMONT,AL,35620,34.923743,-86.966786,LIMESTONE,,0254
AL0061611,PECO FARMS - GORDO HATCHERY,GORDO,AL,35466,33.349722,-87.919167,PICKENS,,0254
ARG250006,ARK. DEPT. OF HEALTH,LITTLE ROCK,AR,72205,34.750567,-92.325695,PULASKI,,0273
CA0024333,BODEGA MARINE LABORATORY,BODEGA BAY,CA,94923,38.318992,-123.05547,SONOMA,,0279
CA0063070,PORT HUENEME AQUACULTURE PARK,PORT HUENEME,CA,93041,34.145833,-119.213889,VENTURA,,0273
CA0064131,PORT HUENEME AQUACULTURE PARK,PORT HUENEME,CA,93041,34.145833,-119.213889,VENTURA,,0273
COG130002,CHALK CLIFFS REARING UNIT,NATHROP (HISTORICAL),CO,81236,38.747555,-106.127035,CHAFFEE,,0273
COG130006,ROARING JUDY FISH HATCHERY,ALMONT,CO,81210,38.683333,-106.833333,GUNNISON,,0273
COG130009,WATSON REARING UNIT,BELLVUE,CO,80512,40.633361,-105.168444,LARIMER,,0273
COG130010,BELLVUE HATCHERY,BELLVUE,CO,80512,40.626389,-105.173778,LARIMER,,0273
COG130012,PUEBLO STATE FISH HATCHERY,PUEBLO,CO,81005,38.25816,-104.71438,PUEBLO,,0273
COG130015,BUENA VISTA UNIT,CHAFFEE COUNTY,CO,81211,38.824722,-106.108611,CHAFFEE,,0273
FLA139149,MCARTHUR FARMS DAIRY - BARN #1 & 2,OKEECHOBEE,FL,00000,27.4251,-80.810761,OKEECHOBEE,112111,0241
FLA139211,MCARTHUR FARMS DAIRY - BARNS 3 & 4 CONSOLIDATED,OKEECHOBEE,FL,34974,27.417292,-80.815123,OKEECHOBEE,112111,0241
FLA139378,MCARTHUR FARMS DAIRY - BARN #3,OKEECHOBEE,FL,34972,27.432753,-80.826692,OKEECHOBEE,112111,0241
FLA284629,GRAHAM FARMS,MOORE HAVEN,FL,33471,26.861125,-81.218247,GLADES,112111,0241
FLA706159,SUNSHINE MEADOWS,DELRAY BEACH,FL,334462607,26.4276,-80.21405,PALM BEACH,112920,0272
GA0000094,USDI FISH AND WILDLIFE SERVICE,SUCHES,GA,00000,34.705824,-84.150281,BROOKS,,0273
GA0029840,LAKE BURTON HATCHERY,CLARKESVILLE,GA,30523,34.84309,-83.586984,HABERSHAM,112511,0273
HI0021825,KEAHOLE POINT FISH LLC,UNKNOWN,HI,00000,19.743056,-156.0625,HAWAII,,0273
IA0075361,GUTHRIE CENTER EGG FARM,GUTHRIE CENTER,IA,50115,41.691944,-94.524722,GUTHRIE,112310,0252
IL0079359,THE MASCHHOFFS LLC - GRIGGSVILLE,GRIGGSVILLE,IL,62340,39.679778,-90.765552,PIKE,,0213
IN0051179,MAPLE LEAF FARMS HATCHERY,CROMWELL,IN,46732,41.415528,-85.598222,NOBLE,,0254
IN0062669,AQUABOUNTY FARMS INDIANA LLC,ALBANY,IN,47320,40.30626,-85.25305,DELAWARE,,0273
KY0076139,NORTHERN KENTUCKY SADDLE CLUB,MELBOURNE,KY,41059,38.98692,-84.36418,CAMPBELL,112920,0272
KY0103888,CAL-MAINE FOODS INC,GUTHRIE,KY,42234,36.676389,-87.205278,TODD,112310,0252
KY0106054,"CAL-MAINE PARTNERSHIP, LTD",BREMEN,KY,42325-2801,37.349444,-87.225,MUHLENBERG,112310,0252
LA0115894,"CAL-MAINE FOODS, INC.",PINE GROVE,LA,70453-2405,30.754185,-90.749677,SAINT HELENA,,0252
LA0124079,TULANE REGIONAL PRIMATE RESEARCH CENTER,COVINGTON,LA,70433,30.453333,-90.090833,ST TAMMANY,,0279
LA0126373,"WALL'S GATOR FARM II, LLC",SPRINGFIELD,LA,70462,30.40934,-90.63952,LIVINGSTON,,0273
LA0126381,PINNACLE ALLIGATOR FARMS LLC,COVINGTON,LA,70435,30.56453,-90.12652,ST. TAMMANY,,0273
LA0126748,C&M GATOR FARM LLC,HOLDEN,LA,70744,,,LIVINGSTON,,0273
MD0055743,BEAR CREEK TROUT HATCHERY,ACCIDENT,MD,21520-2134,39.64583,-79.28539,GARRETT,,0273
MI0043541,HARRIETTA HILLS LLC TF,HARRIETTA,MI,49638,44.3133669,-85.751271,WEXFORD,,0273
MI0059246,INDIAN BROOK TROUT FARM,JACKSON,MI,49201,42.25358,-84.50286,JACKSON,,0273
MO0108952,SIMMONS FOODS JANE HATCHERY,PINEVILLE,MO,64856,36.56409,-94.33303,MCDONALD,,0254
MO0124010,MISSOURI EGG FARM,RIDGEWAY,MO,64481,40.376389,-93.860972,HARRISON,,0252
MS0047791,DELTA BRANCH EXPERIMENT STATION,STONEVILLE,MS,38776,33.422778,-90.909444,WASHINGTON,,0273
MTG010153,PLEASANT VALLEY COLONY INC,BELT,MT,59412-8247,47.340556,-111.041111,CASCADE,,0219
MTG010258,CATTLE DEVELOPMENT CENTER,CUSTER,MT,59024,46.117222,-107.5225,YELLOWSTONE,,0211
NC0052451,CHEROKEE TRIBAL TROUT FARM,CHEROKEE,NC,28719,35.57874,-83.24306,SWAIN,,0273
NC0052515,SMOKY MOUNTAIN TROUT FARM,CHEROKEE,NC,28719,35.542787,-83.217330,SWAIN,,0273
NC0054992,CHEROKEE TROUT FARM,CHEROKEE,NC,28719,35.583389,-83.283694,SWAIN,,0273
NJ0024520,OCEAN TWP SEWERAGE AUTH,OAKHURST,NJ,07755-1591,40.25977,-74.00203,MONMOUTH,,0291
NY0268992,TACONIC BIOSCIENCES INC,GERMANTOWN,NY,12526-5339,42.14305,-73.86861,COLUMBIA,,0291
NY0282367,LOCAL OCEAN LLC,HUDSON,NY,12534,42.22809,-73.78501,COLUMBIA,,0273
OH0122092,CHAGRIN VALLEY HUNT CLUB,GATES MILLS,OH,44040,41.517424,-81.403952,CUYAHOGA,,0279
OH0131121,TRILLIUM FARM HOLDINGS LLC - LAYER SITE 1,CROTON,OH,43013,40.224114,-82.694531,LICKING,,0252
