FacilityID,FacilityName,Address,City,State,Zip,Latitude,Longitude,County,NAICS
1001551,Walter Scott Jr. Energy Center,7215 NAVAJO ST,COUNCIL BLUFFS,IA,51501.0,41.18,-95.8408,Pottawattamie,221112
1001066,D B Wilson,State Highway 85 ,Island,KY,42350.0,37.4497,-87.0803,Ohio,221112
1001076,Forked River,ROUTE 9 SOUTH,FORKED RIVER,NJ,8731.0,39.8154,-74.2098,Ocean,221112
1001053,Hutchinson - Plant 2,1100 INDUSTRIAL BLVD,HUTCHINSON,MN,55350.0,44.8889,-94.35,McLeod,221112
1001060,Louisa,8602 172 ST,MUSCATINE,IA,52761.0,41.3153,-91.0936,Louisa,221112
1001079,Pleasant Hill Energy Center,3191 SE 45 ST,PLEASANT HILL,IA,50317.0,41.5572,-93.5242,Polk,221112
1001054,Rokeby,8000 SW 12 ST,LINCOLN,NE,68523.0,40.7316,-96.7364,Lancaster,221112
1001062,Rawhide Energy Station,2700 East County Road 82,Wellington,CO,80549.0,40.8611,-105.0206,Larimer,221112
1001048,Pawnee,14940 County Road 24,Brush,CO,80723.0,40.2217,-103.6803,Morgan,221112
1001064,Hugo,3 MILES WEST ON HWY 70,FORT TOWSON,OK,74735.0,34.0158,-95.3206,Choctaw,221112
1001049,Mayo Electric Generating Plant,10660 BOSTON ROAD,ROXBORO,NC,27574.0,36.5278,-78.8917,Person,221112
1000963,Bremo Power Station,1038 BREMO ROAD,BREMO BLUFF,VA,23022.0,37.7089,-78.2878,Fluvanna,221112
1000971,Fort Martin Power Station,1732 FORT MARTIN DRIVE,MAIDSVILLE,WV,26541.0,39.7107,-79.9275,Monongalia,221112
1000977,Mount Storm Power Station,436 Dominion Blvd,MOUNT STORM,WV,26739.0,39.2014,-79.2667,Grant,221112
1000990,Dave Johnston,1591 TANK FARM ROAD,GLENROCK,WY,82637.0,42.8378,-105.7769,Converse,221112
1000964,Chesterfield Power Station,500 COXENDALE ROAD,CHESTER,VA,23831.0,37.3822,-77.3833,Chesterfield,221112
1000989,"DTE Stoneman, LLC",716 JACK OAK ROAD,CASSVILLE,WI,53806.0,42.7083,-90.9853,Grant,221119
1000978,Bay Front,122 N 14TH AVE W,ASHLAND,WI,54806.0,46.5869,-90.9017,Ashland,221112
1000972,Canadys Steam,13139 AUGUSTA HWY,WALTERBORO,SC,29433.0,33.0647,-80.6228,Colleton,221112
1000973,Hagood,2200 HAGOOD ROAD,CHARLESTON HEIGHTS,SC,29405.0,32.8265,-79.9634,Charleston,221112
1000982,South Oak Creek,11060 S CHICAGO ROAD,OAK CREEK,WI,53154.0,42.8457,-87.8294,Milwaukee,221112
1000959,R W Miller,2217 FMROAD 3137,PALO PINTO,TX,76484.0,32.6581,-98.3103,Palo Pinto,221112
1000967,John E Amos,1530 Winfield Road,Winfield,WV,25213.0,38.4731,-81.8233,Putnam,221112
1000960,Carbon,,Helper,UT,84526.0,39.7272,-110.8644,Carbon,221112
1000983,Edgewater (4050),3739 LAKESHORE DR,SHEBOYGAN,WI,53802.0,43.715,-87.7094,Sheboygan,221112
1000984,Nelson Dewey,11999 COUNTY HIGHWAY VV,CASSVILLE,WI,53806.0,42.7225,-91.0085,Grant,221112
1000954,Sim Gideon,257 POWER PLANT RD,BASTROP,TX,78602.0,30.1456,-97.2708,Bastrop,221112
1000937,Jones Station,E OF LUBBOCK ON FARM RD 3020,LUBBOCK,TX,79408.0,33.5239,-101.7392,Lubbock,221112
1000918,John Sevier,611 Old Hwy 70 S,ROGERSVILLE,TN,37857.0,36.3767,-82.9639,Hawkins,221112
1000929,Cedar Bayou,7705 WEST BAY ROAD,BAYTOWN,TX,77520.0,29.7483,-94.9272,Chambers,221112
1000955,Alex Ty Cooke Generating Station,3500 E SLATON HWY,LUBBOCK,TX,79404.0,33.5211,-101.7906,Lubbock,221112
1000922,Nueces Bay,2002 NAVIGATION BOULEVARD,CORPUS CHRISTI,TX,78402.0,27.8182,-97.4189,Nueces,221112
