FacilityID,FacilityName,Address,City,County,State,Zip,NAICS,Latitude,Longitude
46755PRTSF21PRG,PARTS FINISHING GROUP,210 S PROGRESS DR,KENDALLVILLE,NOBLE,IN,46755,332812,41.44233,-85.22147
54703PPTLB1200F,CASCADES TISSUE GROUP - WISCON SIN INC,1200 FOREST ST,EAU CLAIRE,EAU CLAIRE,WI,54703,322121,44.828889,-91.509167
30027KPPRS1579K,ARCH WOOD PROTECTION INC,1579 KOPPERS RD,CONLEY,DEKALB,GA,30288,325320,33.66332,-84.3262
62953MSSRPCOUNT,LAFARGE JOPPA PLANT,2500 PORTLAND RD,GRAND CHAIN,MASSAC,IL,62941,327310,37.216805,-88.879849
02823RKWRG538MA,ARKWRIGHT ADVANCED COATING INC,538 MAIN ST,COVENTRY,KENT,RI,2816,322222,41.729233,-71.544106
37406SYNRC2003A,ACCELLA POLYURETHANE SYSTEMS,2003 CURTAIN POLE RD,CHATTANOOGA,HAMILTON,TN,37406,325211,35.06118,-85.274261
60803VLRLS36W13,PREMCOR ALSIP DISTRIBUTION CENTER,3600 W 131ST ST,ALSIP,COOK,IL,60803,424710,41.654974,-87.704449
30913FDRLPHIGHW,GRAPHIC PACKAGING INTERNATIONAL LLC,4278 MIKE PADGETT HWY,AUGUSTA,RICHMOND,GA,30906,322130,33.3286,-81.9537
39181WRNGL431PO,WARING OIL CO,431 PORT TERMINAL CIR,VICKSBURG,WARREN,MS,39183,424720,32.38865,-90.88375
15301DRKNFWESTW,FERRO CORP,251 W WYLIE AVE,WASHINGTON,WASHINGTON,PA,15301,325131,40.179107,-80.271785
60501CRNPR6400A,INGREDION INC ARGO PLANT,6400 S ARCHER AVE,BEDFORD PARK,COOK,IL,60501,311221,41.77847,-87.82096999999997
85201HNSNG21WMC,HANSON AGGREGATES LLC,9595 E MCKELLIPS RD,SCOTTSDALE,MARICOPA,AZ,85256,327320,33.448069,-111.877183
44483GNRLL1210N,GE LIGHTING-OHIO LAMP PLANT,1210 N PARK AVE,WARREN,TRUMBULL,OH,44483,335110,41.24723,-80.81822
01831GRNCX165RO,GARE INC,165 ROSEMONT ST,HAVERHILL,ESSEX,MA,1831,327112,42.80538,-71.1085
